!SIL	SIL
भंगड़ा	bh a q g a dxq aa
भंडार	bh a q dx aa r
भंडारण	bh a q dx aa r a nx
भंडारी	bh a q dx aa r ii
भंसाली	bh a q s aa l ii
भआभरी	bh aa bh r ii
भकिया	bh a k i y aa
भक्त	bh a k t
भग	bh a g
भगत	bh a g a t
भगदड़	bh a g d a dxq
भगवत	bh a g w a t
भगवा	bh a g w aa
भगवान	bh a g w aa n
भगा	bh a g aa
भगोड़े	bh a g o dxq ee
भग्वान	bh a g w aa n
भटकता	bh a tx a k t aa
भटकती	bh a tx a k t ii
भटकल	bh a tx k a l
भटके	bh a tx k ee
भटट	bh a tx a tx
भटियारी	bh a tx i y aa r ii
भट्ट	bh a tx tx
भड़क	bh a dxq a k
भतर्षी	bh a t a r sx ii
भतीजा	bh a t ii j aa
भदवष्य	bh a d w a sx y
भद्रजनों	bh a d r a j a n o q
भनक	bh a n a k
भय	bh a y
भयंकर	bh a y a q k a r
भयानक	bh a y aa n a k
भयावह	bh a y aa w a h
भर	bh a r
भरकर	bh a r k a r
भरत	bh a r a t
भरता	bh a r t aa
भरती	bh a r t ii
भरतीय	bh a r t ii y
भरते	bh a r t ee
भरना	bh a r n aa
भरनी	bh a r n ii
भरने	bh a r n ee
भरपूर	bh a r p uu r
भरपेट	bh a r p ee tx
भरसक	bh a r s a k
भरा	bh a r aa
भरिोसा	bh a r i o s aa
भरी	bh a r ii
भरे	bh a r ee
भरें	bh a r ee q
भरोसा	bh a r o s aa
भरोसे	bh a r o s ee
भरोसेमंद	bh a r o s ee m a q d
भर्तिया	bh a r t i y aa
भर्तियां	bh a r t i y aa q
भर्तियों	bh a r t i y o q
भर्ती	bh a r t ii
भला	bh a l aa
भली	bh a l ii
भले	bh a l ee
भलें	bh a l ee q
भवन	bh a w a n
भवनाएं	bh a w n aa ee q
भविषय	bh a w i sx a y
भविष्य	bh a w i sx y
भस्म	bh a s m
भहारत	bh a h aa r a t
भहारतभीय	bh a h aa r t a bh ii y
भांजीं	bh aa q j ii q
भांडे	bh aa q dx ee
भांति	bh aa q t i
भांप	bh aa q p
भांवरी	bh aa q w a r ii
भाइयों	bh aa i y o q
भाई	bh aa ii
भाग	bh aa g
भागता	bh aa g t aa
भागते	bh aa g t ee
भागदौड़	bh aa g d ou dxq
भागने	bh aa g n ee
भागवत	bh aa g w a t
भागीदार	bh aa g ii d aa r
भागीदारी	bh aa g ii d aa r ii
भागीदारों	bh aa g ii d aa r o q
भागीरथी	bh aa g ii r th ii
भागों	bh aa g o q
भाग्य	bh aa g y
भाग्यशाली	bh aa g y a sh aa l ii
भाजपा	bh aa j p aa
भाटिया	bh aa tx i y aa
भाटियाप्लान	bh aa tx i y aa p l aa n
भातर	bh aa t a r
भार	bh aa r
भारत	bh aa r a t
भारतभारत	bh aa r t a bh aa r a t
भारती	bh aa r t ii
भारतीय	bh aa r t ii y
भारतीयों	bh aa r t ii y o q
भारते	bh aa r t ee
भारतेंदु	bh aa r t ee q d u
भारित	bh aa r i t
भारी	bh aa r ii
भाल	bh aa l
भाव	bh aa w
भावना	bh aa w n aa
भावनाएं	bh aa w n aa ee q
भावनाओं	bh aa w n aa o q
भावनात्मक	bh aa w n aa t m a k
भावरी	bh aa w r ii
भावी	bh aa w ii
भावीश	bh aa w ii sh
भावुक	bh aa w u k
भाषँण	bh aa sx mq nx
भाषण	bh aa sx a nx
भाषणों	bh aa sx nx o q
भाषा	bh aa sx aa
भाषाई	bh aa sx aa ii
भाषाए	bh aa sx aa ee
भाषाएँ	bh aa sx aa ee mq
भाषाएं	bh aa sx aa ee q
भाषाओं	bh aa sx aa o q
भाषायें	bh aa sx aa y ee q
भाषाविज्ञानी	bh aa sx aa w i j nj aa n ii
भाषाविथा	bh aa sx aa w i th aa
भाषाविद	bh aa sx aa w i d
भाषाविद्	bh aa sx aa w i d
भाषाशास्त्री	bh aa sx aa sh aa s t r ii
भाषी	bh aa sx ii
भास्कर	bh aa s k a r
भाड़	bh aa dxq
भिखारी	bh i kh aa r ii
भिजवाया	bh i j w aa y aa
भिड़ते	bh i dxq t ee
भिडेंगे	bh i dx ee q g ee
भित्ती	bh i t t ii
भिन्नता	bh i n n t aa
भिलाली	bh i l aa l ii
भिवंडी	bh i w a q dx ii
भिड़ना	bh i dxq n aa
भिड़ने	bh i dxq n ee
भिड़ेंगी	bh i dxq ee q g ii
भिड़ेंगे	bh i dxq ee q g ee
भी	bh ii
भीड़	bh ii dxq
भीतर	bh ii t a r
भीतरी	bh ii t r ii
भीम	bh ii m
भीमराव	bh ii m r aa w
भीरुता	bh ii r u t aa
भील	bh ii l
भीली	bh ii l ii
भीषण	bh ii sx a nx
भीड़	bh ii dxq
भीड़भाड़	bh ii dxq bh aa dxq
भुखमरी	bh u kh a m r ii
भुगतना	bh u g a t n aa
भुगता	bh u g t aa
भुगतान	bh u g t aa n
भुगतानों	bh u g t aa n o q
भुगतान्	bh u g t aa n
भुना	bh u n aa
भुनाया	bh u n aa y aa
भुला	bh u l aa
भुलाकर	bh u l aa k a r
भुवनेश्वर	bh u w n ee sh w a r
भू	bh uu
भूकंप	bh uu k a q p
भूकम्प	bh uu k a m p
भूख	bh uu kh
भूखा	bh uu kh aa
भूखे	bh uu kh ee
भूगर्भिक	bh uu g a r bh i k
भूचाल	bh uu c aa l
भूजल	bh uu j a l
भूटान	bh uu tx aa n
भूत	bh uu t
भूतकाल	bh uu t k aa l
भूतल	bh uu t a l
भूपति	bh uu p t i
भूभाग	bh uu bh aa g
भूमंडलीकरण	bh uu m a q dx a l ii k r a nx
भूमि	bh uu m i
भूमिका	bh uu m i k aa
भूमिकाओं	bh uu m i k aa o q
भूमिगत	bh uu m i g a t
भूमिज	bh uu m i j
भूमिहीन	bh uu m i h ii n
भूमिहीनों	bh uu m i h ii n o q
भूल	bh uu l
भूलना	bh uu l n aa
भूले	bh uu l ee
भूवैज्ञानिकों	bh uu w ei j nj aa n i k o q
भूषण	bh uu sx a nx
भूसा	bh uu s aa
भेंट	bh ee q tx
भेज	bh ee j
भेजकर	bh ee j k a r
भेजती	bh ee j t ii
भेजते	bh ee j t ee
भेजना	bh ee j n aa
भेजनी	bh ee j n ii
भेजने	bh ee j n ee
भेजा	bh ee j aa
भेजी	bh ee j ii
भेजे	bh ee j ee
भेजें	bh ee j ee q
भेजेगी	bh ee j ee g ii
भेद	bh ee d
भेदभाव	bh ee d bh aa w
भेल	bh ee l
भेेदभाव	bh ee ee d bh aa w
भैंस	bh ei q s
भैया	bh ei y aa
भोजन	bh o j a n
भोजपुर	bh o j p u r
भोपाल	bh o p aa l
भोर	bh o r
भौंचक	bh ou q c a k
भौगोलिक	bh ou g o l i k
भौतिक	bh ou t i k
भौम	bh ou m
भ्रंश	bh r a q sh
भ्रमित	bh r a m i t
भ्रष्ट	bh r a sx tx
भ्रष्टाचार	bh r a sx tx aa c aa r
भ्रीत	bh r ii t
भ्रूण	bh r uu nx
भ्वाईस	bh w aa ii s
भड़क	bh a dxq a k
म	m a
मंगलवार	m a q g a l a w aa r
मंगलसूत्र	m a q g a l a s uu t r
मंगलूर	m a q g a l uu r
मंगवा	m a q g a w aa
मंगवाए	m a q g a w aa ee
मंगवाने	m a q g a w aa n ee
मंगाई	m a q g aa ii
मंगाए	m a q g aa ee
मंगाने	m a q g aa n ee
मंगेतर	m a q g ee t a r
मंगेशकर	m a q g ee sh k a r
मंच	m a q c
मंचों	m a q c o q
मंजर	m a q j a r
मंजिल	m a q j i l
मंजूर	m a q j uu r
मंजूरियां	m a q j uu r i y aa q
मंजूरिी	m a q j uu r i ii
मंजूरी	m a q j uu r ii
मंडरा	m a q dx a r aa
मंडराते	m a q dx a r aa t ee
मंडराने	m a q dx a r aa n ee
मंडल	m a q dx a l
मंडलों	m a q dx a l o q
मंडावी	m a q dx aa w ii
मंड्या	m a q dx y aa
मंतर	m a q t a r
मंत्रमुग्ध	m a q t r a m u g dh
मंत्रालय	m a q t r aa l a y
मंत्रालयों	m a q t r aa l y o q
मंत्रिपरिषद	m a q t r i p r i sx a d
मंत्रिमंडल	m a q t r i m a q dx a l
मंत्रिमंडलीय	m a q t r i m a q dx a l ii y
मंत्रियों	m a q t r i y o q
मंत्रिस्तरीय	m a q t r i s t a r ii y
मंत्री	m a q t r ii
मंथ	m a q th
मंथन	m a q th a n
मंदारदेवी	m a q d aa r d ee w ii
मंदिर	m a q d i r
मंदिरों	m a q d i r o q
मंदी	m a q d ii
मंदों	m a q d o q
मंशा	m a q sh aa
मंषा	m a q sx aa
मंसूबों	m a q s uu b o q
मंसूर	m a q s uu r
मई	m ii
मकसद	m a k s a d
मकहलहा	m a k h a l h aa
मकाऊ	m a k aa uu
मकान	m a k aa n
मकाबला	m a k aa b l aa
मखदूम	m a kh d uu m
मखवभी	m a kh a w bh ii
मगर	m a g a r
मगाने	m a g aa n ee
मच	m a c
मचअवेटेड	m a c a w ee tx ee dx
मचने	m a c n ee
मचा	m a c aa
मचाने	m a c aa n ee
मचाया	m a c aa y aa
मचायी	m a c aa y ii
मची	m a c ii
मच्छर	m a c ch a r
मच्छरों	m a c ch a r o q
मछलियां	m a ch l i y aa q
मछलियों	m a ch l i y o q
मछली	m a ch l ii
मछुआरे	m a ch u aa r ee
मजदुर	m a j d u r
मजदूर	m a j d uu r
मजदूरी	m a j d uu r ii
मजदूरों	m a j d uu r o q
मजबूत	m a j b uu t
मजबूती	m a j b uu t ii
मजबूर	m a j b uu r
मजबूरि	m a j b uu r i
मजबूरी	m a j b uu r ii
मजबूरीवश	m a j b uu r ii w a sh
मजहब	m a j h a b
मजहबी	m a j a h b ii
मजा	m a j aa
मजाक	m a j aa k
मजाकिया	m a j aa k i y aa
मजे	m a j ee
मजेदार	m a j ee d aa r
मडल	m a dx a l
मणि	m a nx i
मणिपाल	m a nx i p aa l
मणिपुर	m a nx i p u r
मत	m a t
मतदाताओं	m a t d aa t aa o q
मतदान	m a t d aa n
मतभेद	m a t bh ee d
मतभेदों	m a t bh ee d o q
मतलब	m a t l a b
मतविभाजन	m a t w i bh aa j a n
मतों	m a t o q
मत्रालय	m a t r aa l a y
मत्स्	m a t s
मत्स्य	m a t s y
मत्स्यपालन	m a t s y a p aa l a n
मथाई	m a th aa ii
मथुरा	m a th u r aa
मथूवभी	m a th uu w bh ii
मद	m a d
मदजूरों	m a d j uu r o q
मदत	m a d a t
मदद	m a d a d
मददगार	m a d d a g aa r
मदन	m a d a n
मदरसा	m a d a r s aa
मदरसे	m a d a r s ee
मदरसों	m a d r a s o q
मदहला	m a d a h l aa
मदिरिसा	m a d i r i s aa
मदिर्दों	m a d i r d o q
मदी	m a d ii
मदीवाला	m a d ii w aa l aa
मद्दे	m a d d ee
मद्देनजर	m a d d ee n j a r
मद्रास	m a d r aa s
मद्रासी	m a d r aa s ii
मद्र्रास	m a d r r aa s
मद््देनजर	m a d d ee n j a r
मधुमेह	m a dh u m ee h
मधुरता	m a dh u r t aa
मधेनजर	m a dh ee n j a r
मधेसी	m a dh ee s ii
मध्य	m a dh y
मध्यप्रदेश	m a dh y a p r a d ee sh
मध्यम	m a dh y a m
मध्यमवर्गीय	m a dh y a m a w a r g ii y
मध्यवर्ग	m a dh y a w a r g
मध्यवर्गीय	m a dh y a w a r g ii y
मध्यस्थता	m a dh y a s th a t aa
मध्यावधि	m a dh y aa w dh i
मन	m a n
मनदीप	m a n d ii p
मनन	m a n a n
मनपसंद	m a n p a s a q d
मनमर्जी	m a n m a r j ii
मनमानी	m a n m aa n ii
मनमुटाव	m a n m u tx aa w
मनमोहन	m a n m o h a n
मनया	m a n y aa
मनरेगा	m a n r ee g aa
मनव	m a n a w
मनवीर	m a n w ii r
मनसे	m a n s ee
मना	m a n aa
मनाए	m a n aa ee
मनाता	m a n aa t aa
मनाते	m a n aa t ee
मनाने	m a n aa n ee
मनाय	m a n aa y
मनाया	m a n aa y aa
मनाही	m a n aa h ii
मनी	m a n ii
मनीष	m a n ii sx
मनु	m a n u
मनुष्य	m a n u sx y
मनुष्यों	m a n u sx y o q
मनुहार	m a n u h aa r
मनोबल	m a n o b a l
मनोरंजक	m a n o r a q j a k
मनोरंजन	m a n o r a q j a n
मनोविज्ञान	m a n o w i j nj aa n
मनोवैज्ञानिक	m a n o w ei j nj aa n i k
मनोहर	m a n o h a r
मन्त्री	m a n t r ii
मन्दिर	m a n d i r
मपहरम	m a p a h r a m
मफलर	m a ph l a r
मम	m a m
ममता	m a m t aa
मम्मी	m a m m ii
मयस्सर	m a y a s s a r
मयावती	m a y aa w t ii
मयूर	m a y uu r
मर	m a r
मरकरी	m a r a k r ii
मरते	m a r t ee
मरने	m a r n ee
मरा	m a r aa
मराकेश	m a r aa k ee sh
मराठवाड़ा	m a r aa txh w aa dxq aa
मराठा	m a r aa txh aa
मराठाओं	m a r aa txh aa o q
मराठी	m a r aa txh ii
मरीज	m a r ii j
मरीजों	m a r ii j o q
मरीना	m a r ii n aa
मरे	m a r ee
मरेगा	m a r ee g aa
मर्चेंट	m a r c ee q tx
मर्ज	m a r j
मर्जी	m a r j ii
मर्डर	m a r dx a r
मर्तबा	m a r t a b aa
मर्द	m a r d
मर्दों	m a r d o q
मर्यादापूर्ण	m a r y aa d aa p uu r nx
मर्सिडीज	m a r s i dx ii j
मल	m a l
मलकानी	m a l k aa n ii
मलक्का	m a l a k k aa
मलयालम	m a l y aa l a m
मलाइका	m a l aa i k aa
मलायका	m a l aa y k aa
मलिक	m a l i k
मलिन	m a l i n
मलिमथ	m a l i m a th
मलेरिया	m a l ee r i y aa
मलेशिया	m a l ee sh i y aa
मलेशियाई	m a l ee sh i y aa ii
मल्टी	m a l tx ii
मल्टीमीडिया	m a l tx ii m ii dx i y aa
मल्लेश्वर	m a l l ee sh w a r
मल्हारी	m a l h aa r ii
मल्होत्रा	m a l h o t r aa
मवासी	m a w aa s ii
मवीर	m a w ii r
मवेशियों	m a w ee sh i y o q
मशक्कत	m a sh a k k a t
मशरूम	m a sh r uu m
मशहूर	m a sh h uu r
मशीन	m a sh ii n
मशीनरी	m a sh ii n r ii
मशीनीकरण	m a sh ii n ii k r a nx
मशीने	m a sh ii n ee
मशीनें	m a sh ii n ee q
मशीनों	m a sh ii n o q
मष्तिष्क	m a sx t i sx k
मसरूफ	m a s r uu ph
मसलन	m a s l a n
मसला	m a s l aa
मसले	m a s l ee
मसलों	m a s l o q
मसांगी	m a s aa q g ii
मसानी	m a s aa n ii
मसालची	m a s aa l c ii
मसाला	m a s aa l aa
मसूद	m a s uu d
मसूरी	m a s uu r ii
मसेज	m a s ee j
मसौदे	m a s ou d ee
मस्कूलर	m a s k uu l a r
मस्त	m a s t
मस्तमौला	m a s t a m ou l aa
मस्तानी	m a s t aa n ii
मस्ती	m a s t ii
महंगा	m a h a q g aa
महंगाई	m a h a q g aa ii
महंगी	m a h a q g ii
महंगे	m a h a q g ee
महकमे	m a h a k m ee
महकमों	m a h k a m o q
महगाई	m a h g aa ii
महज	m a h a j
महतानी	m a h t aa n ii
महताब	m a h t aa b
महत्ता	m a h a t t aa
महत्त्व	m a h a t t w
महत्त्वपूणर्च	m a h a t t w a p uu nx a r c
महत्त्वपूर्ण	m a h a t t w a p uu r nx
